Number,State,R2 score,Param activation_l0,Param activation_l1,Param activation_l2,Param activation_l3,Param activation_l4,Param batch_size,Param epoch,Param gmm_seed,Param init_params_gmm,Param last_activation,Param learning_rate,Param loss,Param max_iter,Param n_components,Param n_init,Param n_layers,Param n_units_l0,Param n_units_l1,Param n_units_l2,Param n_units_l3,Param n_units_l4,Param optimizer,Param seed
210,COMPLETE,0.55776861,sigmoid,relu,relu,,,72,570,8,random,lambda,0.0010572675630801157,huber_loss,40,5,50,3,22,22,58,,,RMSprop,90
211,COMPLETE,0.67775521,sigmoid,relu,relu,,,76,550,2,random,lambda,0.0012236320707155078,huber_loss,40,5,80,3,10,32,56,,,RMSprop,85
212,COMPLETE,0.54727096,sigmoid,relu,relu,,,76,560,0,random,lambda,0.0011258105645093124,huber_loss,40,5,80,3,10,34,56,,,RMSprop,85
213,COMPLETE,0.44420405,sigmoid,relu,relu,,,76,550,6,random,lambda,0.0007914709439413276,huber_loss,40,5,80,3,18,24,32,,,RMSprop,7
214,COMPLETE,0.68567594,sigmoid,relu,relu,,,74,610,2,random,lambda,0.0013075567582281286,huber_loss,40,5,80,3,12,38,52,,,RMSprop,87
215,COMPLETE,0.65900752,sigmoid,relu,relu,,,74,600,3,random,lambda,0.0013572224147107436,huber_loss,40,5,80,3,12,40,52,,,RMSprop,82
216,COMPLETE,0.21448143,sigmoid,relu,relu,,,70,610,3,random,lambda,0.0014170272660357663,huber_loss,40,5,10,3,12,40,52,,,RMSprop,83
217,COMPLETE,-0.31337894,sigmoid,relu,relu,,,74,660,2,random,lambda,0.0018373644925336473,huber_loss,40,5,80,3,34,22,52,,,RMSprop,81
218,COMPLETE,-0.66149455,sigmoid,relu,relu,,,72,630,5,random,lambda,0.002429418189506908,huber_loss,40,5,80,3,16,36,54,,,RMSprop,78
219,COMPLETE,0.64485054,sigmoid,relu,relu,,,74,590,4,random,lambda,0.0012532552814212947,huber_loss,40,5,80,3,14,28,52,,,RMSprop,17
220,COMPLETE,0.09137676,sigmoid,relu,relu,,,78,590,10,random,lambda,0.0012624290605136956,huber_loss,40,5,80,3,14,28,54,,,RMSprop,13
221,COMPLETE,0.41854103,sigmoid,relu,relu,,,74,610,4,random,lambda,0.0014710311918682162,huber_loss,40,5,80,3,14,32,52,,,RMSprop,82
222,COMPLETE,0.64574998,sigmoid,relu,relu,,,76,590,3,random,lambda,0.001083739264422601,huber_loss,40,5,80,3,16,42,52,,,RMSprop,20
223,COMPLETE,0.27077173,sigmoid,relu,relu,,,76,590,0,random,lambda,0.0011693433100992648,huber_loss,40,5,80,3,16,40,50,,,RMSprop,18
224,COMPLETE,0.75148271,sigmoid,relu,relu,,,74,610,3,random,lambda,0.0009917983253992665,huber_loss,40,5,80,3,12,38,54,,,RMSprop,15
225,COMPLETE,0.60516721,sigmoid,relu,relu,,,74,630,7,random,lambda,0.0010161577337728972,huber_loss,40,5,80,3,12,38,54,,,RMSprop,16
226,COMPLETE,0.68769602,sigmoid,relu,relu,,,74,600,3,random,lambda,0.00123921744805753,huber_loss,40,5,80,3,10,38,50,,,RMSprop,20
227,COMPLETE,0.00345724,sigmoid,tanh,relu,,,74,610,4,random,lambda,0.001280219242530502,huber_loss,40,5,80,3,10,40,52,,,RMSprop,21
228,COMPLETE,0.32874082,sigmoid,relu,relu,,,40,580,6,random,lambda,0.0015167761144042936,huber_loss,40,5,80,3,16,38,48,,,Adam,21
229,COMPLETE,0.32705815,sigmoid,relu,relu,,,76,620,0,random,lambda,0.000981985917848996,huber_loss,40,5,80,3,18,42,50,,,RMSprop,15
230,COMPLETE,0.02491253,sigmoid,relu,relu,,,70,640,8,random,lambda,0.0011925773873817849,huber_loss,40,5,80,3,50,38,50,,,RMSprop,27
231,COMPLETE,0.63501812,sigmoid,relu,relu,,,74,600,2,random,lambda,0.0007751987386760738,huber_loss,40,5,80,3,12,34,52,,,RMSprop,17
232,COMPLETE,0.08148891,sigmoid,relu,relu,,,72,580,4,random,lambda,0.0009690887546753265,huber_loss,40,5,80,3,12,30,54,,,RMSprop,25
233,COMPLETE,0.31976995,sigmoid,relu,relu,,,76,600,2,random,lambda,0.0015417634550385438,huber_loss,50,5,80,3,10,36,56,,,RMSprop,12
234,COMPLETE,0.00558476,sigmoid,relu,relu,,,74,570,6,random,lambda,0.0012458950682602157,huber_loss,40,5,80,3,14,42,50,,,RMSprop,18
235,COMPLETE,0.55750475,sigmoid,relu,relu,,,76,620,3,random,lambda,0.0008601714980142826,huber_loss,40,5,80,3,20,38,52,,,RMSprop,23
236,COMPLETE,0.40247942,sigmoid,relu,relu,,,78,590,0,random,lambda,0.0010976491055149583,huber_loss,40,5,80,3,14,32,54,,,RMSprop,20
237,COMPLETE,0.47849486,sigmoid,relu,relu,,,72,610,5,random,lambda,0.0006813694535084805,huber_loss,40,5,80,3,8,42,56,,,RMSprop,19
238,COMPLETE,-0.24639046,sigmoid,relu,relu,,,74,650,2,random,lambda,0.0016524792143968678,huber_loss,40,5,80,3,12,40,54,,,RMSprop,14
239,COMPLETE,0.51442546,sigmoid,tanh,relu,,,46,570,8,random,lambda,0.0012717151334843346,huber_loss,40,5,80,3,16,38,54,,,RMSprop,30
240,COMPLETE,0.71759708,sigmoid,relu,relu,,,42,590,4,random,lambda,0.0009327687850428084,huber_loss,30,5,20,3,10,26,56,,,RMSprop,38
241,COMPLETE,0.24790926,sigmoid,relu,relu,,,72,590,4,random,lambda,0.0009228332058409106,huber_loss,30,5,80,3,10,24,56,,,RMSprop,11
242,COMPLETE,0.61323236,sigmoid,relu,relu,,,42,630,2,random,lambda,0.0010617569634365676,huber_loss,40,5,40,3,10,26,56,,,RMSprop,16
243,COMPLETE,0.41188391,sigmoid,relu,relu,,,42,600,5,random,,0.0007721026443714196,huber_loss,40,5,20,3,12,26,52,,,RMSprop,39
