Id,Date,Sample,PDF Type,Target Type,Target Params,Model Type,R2 Score,Train Epoch,Batch Size,Learning Rate,N Layer,N Neurons,Loss Type,Dimension,Max Error,MSE Score,EVS Score,ISE Score,KL Score,Title,PDF params,Model params,Target params,Seed
d0bf51d4,2024-04-11 17-57,100,MULTIVARIATE_1254,GMM,k-means++ C8 ,GNN,-0.0969,270,8,5.244946293289557e-05,5,214,mse_loss,1,0.0961,0.0035,0.2498,0.0352,0.1287,Experiment  C8 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(56, Tanh()), (64, ReLU()), (58, ReLU()), (20, ReLU()), (16, ReLU())], 'last_activation': 'lambda'}","{'n_components': 8, 'n_init': 70, 'max_iter': 20, 'init_params': 'k-means++', 'random_state': 3}",42
9d911c92,2024-04-11 18-01,100,MULTIVARIATE_1254,GMM,k-means++ C8 ,GNN,0.8297,270,8,5.244946293289557e-05,5,214,mse_loss,1,0.1135,0.0005,0.8398,0.0055,0.0258,Experiment  C8 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(56, Tanh()), (64, ReLU()), (58, ReLU()), (20, ReLU()), (16, ReLU())], 'last_activation': None}","{'n_components': 8, 'n_init': 70, 'max_iter': 20, 'init_params': 'k-means++', 'random_state': 3}",42
30518686,2024-04-11 18-09,100,exponential 0.6,,None,Parzen Window,0.9211,,,,,,,1,0.9688,0.0101,0.9221,601.1126,1.1245,Experiment S100,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]",{'h': 0.1000015563586018},,42
ab9b8dc4,2024-04-11 18-12,100,exponential 0.6,,None,Parzen Window,0.9211,,,,,,,1,0.9688,0.0101,0.9222,601.1112,1.1245,Experiment S100,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]",{'h': 0.100002985361425},,42
dcce4434,2024-04-11 18-14,100,exponential 0.6,,None,Parzen Window,0.9607,,,,,,,1,0.5795,0.0051,0.9636,630.5933,1.1245,Experiment S100,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]",{'h': 0.100002985361425},,60
6103874b,2024-04-11 18-53,100,EXPONENTIAL_06,,None,Parzen Window,0.9211,,,,,,,1,0.9688,0.0101,0.9222,601.1112,1.1245,Experiment S100,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]",{'h': 0.100002985361425},,42
ec892d49,2024-04-11 18-54,100,EXPONENTIAL_06,,None,Parzen Window,0.9206,,,,,,,1,0.9707,0.0102,0.9216,603.0993,1.1245,Experiment S100,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]",{'h': 0.09795517178517492},,42
8ee195a2,2024-04-11 18-54,100,EXPONENTIAL_06,,None,Parzen Window,0.9206,,,,,,,1,0.9707,0.0102,0.9216,603.0993,1.1245,Experiment S100,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]",{'h': 0.09795517178517492},,11
d4dbf019,2024-04-12 00-24,100,EXPONENTIAL_06,,None,Parzen Window,0.918,,,,,,,1,0.8652,0.0131,0.9209,288.4629,0.702,Experiment S100,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]",{'h': 0.13769091718282794},,42
14e5255f,2024-04-12 00-26,50,EXPONENTIAL_06,,None,Parzen Window,0.9296,,,,,,,1,0.7746,0.0113,0.9339,314.4611,0.702,Experiment S50,"[[{'type': 'exponential', 'rate': 0.6, 'weight': 1}]]",{'h': 0.13769091718282794},,42
